epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2556.01,2.09036,1.52507,1.37925,0.47324,0.42827,0.39051,0.1567,2.07527,1.5287,1.37879,0.0700571,0.00332698,0.00332698
2,5161.52,1.92356,1.37603,1.28783,0.49951,0.45557,0.42129,0.17321,1.96106,1.376,1.29131,0.0397275,0.00633063,0.00633063
3,7335.44,1.84982,1.30136,1.2403,0.55206,0.50637,0.47907,0.21407,1.84259,1.26549,1.21976,0.00906777,0.00900428,0.00900428
4,9457.23,1.78559,1.24022,1.21109,0.58609,0.52175,0.51515,0.24927,1.72533,1.23123,1.19729,0.008515,0.008515,0.008515
